site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|17|266033|NUM_CPU_CORES|12||27-OCT-14 08.00.00.000000 AM
37|1|17|266034|NUM_CPU_SOCKETS|2||27-OCT-14 08.00.00.000000 AM
37|1|17|266041|TCP_SEND_SIZE_MAX|4194304||27-OCT-14 08.00.00.000000 AM
37|1|17|266027|LOAD|4.44|3.69|27-OCT-14 08.00.00.000000 AM
37|1|17|266042|TCP_SEND_SIZE_MIN|4096||27-OCT-14 08.00.00.000000 AM
37|1|17|266021|BUSY_TIME|7887509.44||27-OCT-14 08.00.00.000000 AM
37|1|17|266038|TCP_RECEIVE_SIZE_MAX|6291456||27-OCT-14 08.00.00.000000 AM
37|1|17|266025|SYS_TIME|1240395.63||27-OCT-14 08.00.00.000000 AM
37|1|17|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||27-OCT-14 08.00.00.000000 AM
37|1|17|266039|TCP_RECEIVE_SIZE_MIN|4096||27-OCT-14 08.00.00.000000 AM
37|1|16|266032|NUM_CPUS|24||24-OCT-14 08.00.00.000000 AM
37|1|16|266034|NUM_CPU_SOCKETS|2||24-OCT-14 08.00.00.000000 AM
37|1|16|266038|TCP_RECEIVE_SIZE_MAX|6291456||24-OCT-14 08.00.00.000000 AM
37|1|16|266023|IOWAIT_TIME|2426.31||24-OCT-14 08.00.00.000000 AM
